Month,Borough,Monthly Miles,Monthly Road Call Count,Monthly MDBF
02/01/2017,Manhattan,1213982,351,3459
02/01/2017,Queens,3815765,476,8016
02/01/2017,Staten Island,1939369,72,26936
01/01/2017,Bronx,2196386,445,4936
01/01/2017,Brooklyn,3062881,401,7638
01/01/2017,Manhattan,1309877,396,3308
01/01/2017,Queens,4204302,577,7286
01/01/2017,Staten Island,2122147,92,23067
12/01/2016,Bronx,2194838,400,5487
12/01/2016,Brooklyn,3022746,409,7391
12/01/2016,Manhattan,1260300,391,3223
12/01/2016,Queens,4189750,574,7299
12/01/2016,Staten Island,2135937,89,23999
11/01/2016,Bronx,2153539,438,4917
11/01/2016,Brooklyn,2976621,414,7190
11/01/2016,Manhattan,1244085,393,3166
11/01/2016,Queens,4120719,578,7129
11/01/2016,Staten Island,2091511,61,34287
10/01/2016,Bronx,2291904,453,5059
10/01/2016,Brooklyn,3104605,441,7040
10/01/2016,Manhattan,1336251,400,3341
10/01/2016,Queens,4287611,641,6689
10/01/2016,Staten Island,2171401,89,24398
09/01/2016,Bronx,2215588,450,4924
09/01/2016,Brooklyn,2972892,433,6866
09/01/2016,Manhattan,1281671,426,3009
09/01/2016,Queens,4199759,622,6752
09/01/2016,Staten Island,2134274,92,23199
08/01/2016,Bronx,2324682,543,4281
08/01/2016,Brooklyn,3038264,498,6101
08/01/2016,Manhattan,1340774,465,2883
08/01/2016,Queens,4368844,623,7013
08/01/2016,Staten Island,2226761,110,20243
07/01/2016,Bronx,2214569,603,3673
07/01/2016,Brooklyn,2959528,531,5573
07/01/2016,Manhattan,1308178,486,2692
07/01/2016,Queens,4119189,768,5364
07/01/2016,Staten Island,2056144,124,16582
06/01/2016,Bronx,2237478,506,4422
06/01/2016,Brooklyn,2994683,455,6582
06/01/2016,Manhattan,1292471,432,2992
06/01/2016,Queens,4270079,696,6135
06/01/2016,Staten Island,2164354,89,24319
05/01/2016,Bronx,2265942,495,4578
05/01/2016,Brooklyn,3111512,464,6706
05/01/2016,Manhattan,1314715,370,3553
05/01/2016,Queens,4261798,644,6618
05/01/2016,Staten Island,2155818,117,18426
04/01/2016,Bronx,2230697,417,5349
04/01/2016,Brooklyn,3039176,384,7915
04/01/2016,Manhattan,1300798,331,3930
04/01/2016,Queens,4224637,599,7053
04/01/2016,Staten Island,2128297,117,18191
03/01/2016,Bronx,2320235,458,5066
03/01/2016,Brooklyn,3122984,399,7827
03/01/2016,Manhattan,1356182,372,3646
