month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Brooklyn,LCL/LTD,B44,Peak,140268.06,2.9994342,-0.36708993,0.6901254
2025-01-01,Brooklyn,SBS,B44+,Off-Peak,265640.97,2.5248222,0.37621713,0.6946318
2025-01-01,Brooklyn,LCL/LTD,B44+,Off-Peak,2786.811,1.2262436,-0.82613003,0.9010285
2025-01-01,Brooklyn,SBS,B44+,Peak,229087.05,2.7211313,0.5049483,0.70913523
2025-01-01,Brooklyn,LCL/LTD,B45,Off-Peak,67027.945,4.1379485,0.1484415,0.62530077
2025-01-01,Brooklyn,LCL/LTD,B45,Peak,44570.45,3.0583014,0.3150245,0.64763254
2025-01-01,Brooklyn,LCL/LTD,B46,Off-Peak,268639.88,2.7735598,-0.5441347,0.7176387
2025-01-01,Brooklyn,LCL/LTD,B46,Peak,150564.03,2.8523555,-0.33731776,0.7135319
2025-01-01,Brooklyn,SBS,B46+,Off-Peak,304555.47,2.036247,0.5871291,0.73495203
2025-01-01,Brooklyn,LCL/LTD,B46+,Off-Peak,3823.741,1.3046017,2.6784587,0.66626084
2025-01-01,Brooklyn,SBS,B46+,Peak,260052.02,2.7494938,0.9954843,0.7262631
2025-01-01,Brooklyn,LCL/LTD,B47,Off-Peak,158725.36,3.5086994,1.3730941,0.61210775
2025-01-01,Brooklyn,LCL/LTD,B47,Peak,115394.234,4.345627,1.4922303,0.5529056
2025-01-01,Brooklyn,LCL/LTD,B48,Off-Peak,40937.26,4.3808684,1.509293,0.60270023
2025-01-01,Brooklyn,LCL/LTD,B48,Peak,34938.266,3.6731687,1.453159,0.5943958
2025-01-01,Brooklyn,LCL/LTD,B49,Off-Peak,186531.66,2.6925583,0.13363418,0.6798469
2025-01-01,Brooklyn,LCL/LTD,B49,Peak,117597.11,2.612723,-0.18503676,0.6886611
2025-01-01,Brooklyn,LCL/LTD,B52,Off-Peak,145057.66,2.014623,0.24061692,0.7255932
2025-01-01,Brooklyn,LCL/LTD,B52,Peak,111301.94,2.353029,0.63601863,0.68026185
2025-01-01,Brooklyn,LCL/LTD,B54,Off-Peak,122800.07,2.384611,-0.093256555,0.7116656
2025-01-01,Brooklyn,LCL/LTD,B54,Peak,97216.586,2.0843651,0.320136,0.69868773
2025-01-01,Brooklyn,LCL/LTD,B57,Off-Peak,101038.62,4.101199,0.2772673,0.65280443
2025-01-01,Brooklyn,LCL/LTD,B57,Peak,73719.77,3.9295652,0.43428466,0.6281217
2025-01-01,Brooklyn,LCL/LTD,B6,Off-Peak,595921.06,2.7467647,0.05945276,0.7010778
2025-01-01,Brooklyn,LCL/LTD,B6,Peak,392355.28,3.1426837,-0.37595242,0.7137447
2025-01-01,Brooklyn,LCL/LTD,B60,Off-Peak,147981.36,4.0244637,0.41191143,0.61916244
2025-01-01,Brooklyn,LCL/LTD,B60,Peak,108907.46,3.3386934,0.448378,0.6280686
2025-01-01,Brooklyn,LCL/LTD,B61,Off-Peak,105684.08,2.031119,0.14922272,0.7312124
2025-01-01,Brooklyn,LCL/LTD,B61,Peak,77292.336,1.583861,0.019339291,0.74433047
2025-01-01,Brooklyn,LCL/LTD,B62,Off-Peak,92822.82,4.5726533,0.99209005,0.60833544
2025-01-01,Brooklyn,LCL/LTD,B62,Peak,69947.65,3.7786562,0.7522335,0.61673295
2025-01-01,Brooklyn,LCL/LTD,B63,Off-Peak,161924.14,2.115065,-0.104572974,0.7338056
2025-01-01,Brooklyn,LCL/LTD,B63,Peak,104378.96,2.4281147,0.053880867,0.7005287
2025-01-01,Brooklyn,LCL/LTD,B64,Off-Peak,90179.69,3.0920024,0.5179026,0.6945419
2025-01-01,Brooklyn,LCL/LTD,B64,Peak,68005.766,3.2185986,0.60385406,0.66148937
2025-01-01,Brooklyn,LCL/LTD,B65,Off-Peak,50494.832,4.4480844,1.0384963,0.588704
2025-01-01,Brooklyn,LCL/LTD,B65,Peak,36241.535,3.9152663,1.3400973,0.5909614
2025-01-01,Brooklyn,LCL/LTD,B67,Off-Peak,62801.965,2.4009843,0.09498637,0.73634773
2025-01-01,Brooklyn,LCL/LTD,B67,Peak,60743.45,1.812087,-0.20289452,0.760344
2025-01-01,Brooklyn,LCL/LTD,B68,Off-Peak,177448.12,2.5270417,1.6975086,0.6108931
2025-01-01,Brooklyn,LCL/LTD,B68,Peak,109651.09,2.7877045,1.0685295,0.63216835
2025-01-01,Brooklyn,LCL/LTD,B69,Off-Peak,56393.785,2.4580948,-0.3358602,0.7529658
2025-01-01,Brooklyn,LCL/LTD,B69,Peak,64216.21,1.7550035,-0.70397824,0.78277946
2025-01-01,Brooklyn,LCL/LTD,B7,Off-Peak,79431.17,3.1349835,0.8116275,0.6701356
2025-01-01,Brooklyn,LCL/LTD,B7,Peak,66598.375,2.303124,0.43103522,0.68172526
2025-01-01,Brooklyn,LCL/LTD,B70,Off-Peak,87911.11,3.8568327,2.8440673,0.5751353
2025-01-01,Brooklyn,LCL/LTD,B70,Peak,70306,2.5065148,1.624311,0.62876683
2025-01-01,Brooklyn,LCL/LTD,B74,Off-Peak,61650.09,4.254485,2.523788,0.48911247
2025-01-01,Brooklyn,LCL/LTD,B74,Peak,45560.047,3.6638591,2.3367379,0.5205842
2025-01-01,Brooklyn,LCL/LTD,B8,Off-Peak,229582.23,2.8235734,0.832017,0.6489214
2025-01-01,Brooklyn,LCL/LTD,B8,Peak,180104.3,2.5785768,1.0744978,0.6368423
2025-01-01,Brooklyn,LCL/LTD,B82,Off-Peak,264632.47,2.3874617,-0.511522,0.7212978
2025-01-01,Brooklyn,LCL/LTD,B82,Peak,152021.12,2.3871214,-0.3463326,0.71907455
2025-01-01,Brooklyn,SBS,B82+,Off-Peak,212246.73,2.733137,1.1872896,0.63200104
2025-01-01,Brooklyn,SBS,B82+,Peak,198172.39,2.4887774,1.1120609,0.64651346
