month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2020-01-01,Brooklyn,LCL/LTD,B70,Off-Peak,102328.125,2.261399,1.7192577,0.67497
2020-01-01,Brooklyn,LCL/LTD,B70,Peak,83193,1.5567566,1.3015201,0.7130732
2020-01-01,Brooklyn,LCL/LTD,B74,Off-Peak,55691.062,5.727141,2.3673685,0.5143963
2020-01-01,Brooklyn,LCL/LTD,B74,Peak,39755.984,3.997324,1.7387381,0.6180692
2020-01-01,Brooklyn,LCL/LTD,B8,Off-Peak,277633.84,1.9092833,0.7569618,0.71631265
2020-01-01,Brooklyn,LCL/LTD,B8,Peak,219671.27,2.1423273,1.4024866,0.65842026
2020-01-01,Brooklyn,LCL/LTD,B82,Off-Peak,186646.78,1.8917235,0.17631254,0.7348523
2020-01-01,Brooklyn,LCL/LTD,B82,Peak,119516.3,2.1894317,0.18219917,0.7114974
2020-01-01,Brooklyn,SBS,B82+,Off-Peak,148661.28,1.4889333,1.3135496,0.69253427
2020-01-01,Brooklyn,SBS,B82+,Peak,127760.45,1.4923264,1.651589,0.663956
2020-01-01,Brooklyn,LCL/LTD,B83,Off-Peak,116181.445,2.0611942,0.46938,0.73433036
2020-01-01,Brooklyn,LCL/LTD,B83,Peak,71972.836,2.2287238,0.80618745,0.697543
2020-01-01,Brooklyn,LCL/LTD,B84,Off-Peak,7410.1016,2.718123,1.3535796,0.7157252
2020-01-01,Brooklyn,LCL/LTD,B84,Peak,5731.346,2.1173022,1.7721584,0.7406747
2020-01-01,Brooklyn,LCL/LTD,B9,Off-Peak,215290.06,1.3521802,0.9035937,0.7439909
2020-01-01,Brooklyn,LCL/LTD,B9,Peak,168650.86,1.6577672,0.88017863,0.71366763
2020-01-01,Brooklyn,EXP,BM1,Off-Peak,9945.461,5.473328,4.3047085,0.4106166
2020-01-01,Brooklyn,EXP,BM1,Peak,13504.147,3.9614906,3.8685446,0.46787855
2020-01-01,Brooklyn,EXP,BM2,Off-Peak,7578.1562,5.92792,7.6388917,0.3328633
2020-01-01,Brooklyn,EXP,BM2,Peak,9376.673,5.6583395,10.211737,0.27634957
2020-01-01,Brooklyn,EXP,BM3,Off-Peak,6237.1816,5.6128774,2.7431476,0.5171735
2020-01-01,Brooklyn,EXP,BM3,Peak,9290.363,5.562759,2.7585194,0.5022812
2020-01-01,Brooklyn,EXP,BM4,Off-Peak,4470.181,5.369422,1.3870379,0.59010226
2020-01-01,Brooklyn,EXP,BM4,Peak,7924.444,4.3316803,1.764687,0.5587177
2020-01-01,Brooklyn,EXP,BM5,Off-Peak,5985.44,6.949115,2.0196388,0.43459934
2020-01-01,Brooklyn,EXP,BM5,Peak,8632.072,4.5309253,6.4016814,0.32018003
2020-01-01,Brooklyn,EXP,X27,Off-Peak,1447.3854,1.1003575,0.12967712,0.81862706
2020-01-01,Brooklyn,EXP,X27,Peak,7812.483,0.85351616,-1.3930346,0.8557328
2020-01-01,Brooklyn,EXP,X28,Off-Peak,10392.985,1.7489147,-0.890876,0.72574145
2020-01-01,Brooklyn,EXP,X28,Peak,13280.962,1.2580862,-2.3406305,0.83796793
2020-01-01,Brooklyn,EXP,X37,Off-Peak,3822.274,0.72509533,-0.5724181,0.82595754
2020-01-01,Brooklyn,EXP,X37,Peak,19392.62,0.5921479,-0.4507313,0.7564726
2020-01-01,Brooklyn,EXP,X38,Off-Peak,3470.0916,1.0550625,-3.374112,0.87500656
2020-01-01,Brooklyn,EXP,X38,Peak,16864.299,1.7966985,-5.443387,0.83092237
2020-01-01,Manhattan,LCL/LTD,M1,Off-Peak,129935.87,1.6593562,0.07367381,0.7578643
2020-01-01,Manhattan,LCL/LTD,M1,Peak,113781.25,1.3214023,-0.013718462,0.7862795
2020-01-01,Manhattan,LCL/LTD,M10,Off-Peak,87236.8,1.9829285,0.38294742,0.7710295
2020-01-01,Manhattan,LCL/LTD,M10,Peak,62842.61,1.7090491,0.13407913,0.7533726
2020-01-01,Manhattan,LCL/LTD,M100,Off-Peak,225453.88,1.486207,0.19073325,0.7843504
2020-01-01,Manhattan,LCL/LTD,M100,Peak,143045.47,1.5937434,0.06666032,0.79110295
2020-01-01,Manhattan,LCL/LTD,M101,Off-Peak,378935.47,2.1818833,-0.11852444,0.742274
2020-01-01,Manhattan,LCL/LTD,M101,Peak,256339.62,2.5524006,0.0014495058,0.71971303
2020-01-01,Manhattan,LCL/LTD,M102,Off-Peak,203588.84,2.138077,0.213707,0.73250943
2020-01-01,Manhattan,LCL/LTD,M102,Peak,135622.16,2.1855829,0.17116979,0.73038536
2020-01-01,Manhattan,LCL/LTD,M103,Off-Peak,155919.55,1.9130766,-0.66773456,0.7933005
2020-01-01,Manhattan,LCL/LTD,M103,Peak,95810.86,2.274405,-0.53066385,0.78293
2020-01-01,Manhattan,LCL/LTD,M104,Off-Peak,122110.91,1.9276786,0.5759043,0.7380649
2020-01-01,Manhattan,LCL/LTD,M104,Peak,65453.695,1.6716133,0.46410123,0.7465
2020-01-01,Manhattan,LCL/LTD,M106,Off-Peak,29987.648,2.0858874,0.9160951,0.7653597
2020-01-01,Manhattan,LCL/LTD,M106,Peak,34562.492,1.851978,0.99774724,0.7061995
2020-01-01,Manhattan,LCL/LTD,M11,Off-Peak,156709.33,2.3112068,0.59595853,0.69973713
2020-01-01,Manhattan,LCL/LTD,M11,Peak,110909.7,2.079985,0.7248282,0.6872102
