month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,EXP,BXM2,Off-Peak,1185,14136.439,11.925311
2025-01-01,Bronx,1,EXP,BXM2,Peak,642,6931.478,10.792716
2025-01-01,Bronx,2,EXP,BXM2,Off-Peak,255,3405.9932,13.308386
2025-01-01,Bronx,2,EXP,BXM2,Peak,105,1374.6,13.080356
2025-01-01,Bronx,1,EXP,BXM3,Off-Peak,847,9810.456,11.58173
2025-01-01,Bronx,1,EXP,BXM3,Peak,511,5444.997,10.640682
2025-01-01,Bronx,2,EXP,BXM3,Off-Peak,168,2279.428,13.524195
2025-01-01,Bronx,2,EXP,BXM3,Peak,62,795.812,12.635279
2025-01-01,Bronx,1,EXP,BXM4,Off-Peak,694,6721.639,9.677
2025-01-01,Bronx,1,EXP,BXM4,Peak,354,3102.9102,8.74467
2025-01-01,Bronx,2,EXP,BXM4,Off-Peak,161,1761.977,10.892483
2025-01-01,Bronx,2,EXP,BXM4,Peak,69,733.537,10.492257
2025-01-01,Bronx,1,EXP,BXM6,Off-Peak,493,6068.8447,12.307867
2025-01-01,Bronx,1,EXP,BXM6,Peak,418,4534.763,10.827582
2025-01-01,Bronx,2,EXP,BXM6,Off-Peak,140,2043.816,14.545783
2025-01-01,Bronx,2,EXP,BXM6,Peak,50,692.192,13.646571
2025-01-01,Bronx,1,EXP,BXM7,Off-Peak,1656,25456.623,15.369934
2025-01-01,Bronx,1,EXP,BXM7,Peak,1245,17141.918,13.764217
2025-01-01,Bronx,2,EXP,BXM7,Off-Peak,384,6631.213,17.263939
2025-01-01,Bronx,2,EXP,BXM7,Peak,162,2799.466,17.176277
2025-01-01,Bronx,1,EXP,BXM8,Off-Peak,1051,13728.929,13.05607
2025-01-01,Bronx,1,EXP,BXM8,Peak,939,11060.461,11.770361
2025-01-01,Bronx,2,EXP,BXM8,Off-Peak,186,2774.585,14.914986
2025-01-01,Bronx,2,EXP,BXM8,Peak,76,1070.774,14.088874
2025-01-01,Bronx,1,EXP,BXM9,Off-Peak,1174,16220.654,13.810751
2025-01-01,Bronx,1,EXP,BXM9,Peak,883,10665.411,12.06604
2025-01-01,Bronx,2,EXP,BXM9,Off-Peak,191,2979.01,15.550008
2025-01-01,Bronx,2,EXP,BXM9,Peak,82,1285.642,15.628373
2025-01-01,Brooklyn,1,LCL/LTD,B1,Off-Peak,3152,22346.11,7.0881977
2025-01-01,Brooklyn,1,LCL/LTD,B1,Peak,1510,9766.354,6.466195
2025-01-01,Brooklyn,2,LCL/LTD,B1,Off-Peak,976,7059.9478,7.2332854
2025-01-01,Brooklyn,2,LCL/LTD,B1,Peak,418,2929.884,6.998739
2025-01-01,Brooklyn,1,LCL/LTD,B100,Off-Peak,1150,10641.711,9.248885
2025-01-01,Brooklyn,1,LCL/LTD,B100,Peak,904,7746.511,8.560511
